ProductCLass	Product	Description	ProductCurrency	NegotiationLot	PriceLot	ISIN	Dt_Issue	Dt_Expiry	Index Rate	PctRate	Dt_CashMaturity	Liquidity	Rating	Dt_Com	Dt_CashFlow	Cash Flow Currency	Fixed Coupon	Coupon Time Basis	Coupon Rate Basis	Coupon Rate Frequency	Dt_StartCoupon	Dt_EndCoupon	Float Index	Is Fixing Period	Dt_Fixing	Dt_StartFloat	Dt_EndFloat	Principal Indexed Index	Dt_StartIndex	Dt_EndIndex	Principal Amortization Pct	Forward	PU Effective Payment	LinkedProduct	Base Price	Price Fixing Date	Float Fixing Date	Float Start	Float End Date	Float Spread	Float Rate Basis	Float Time Basis	Dt_StartAccrual	Dt_FirstPayment	Annual Payment Frequency
ADR	BBD	BRADESCO PN	USD	1	1	US0594603039																																							
ADR	BRFS	BRFS3 ADR	USD	1	1	US10552T1079																																							
ADR	ITUB	ITAU PN	USD	1	1	US4655621062																																							
ADR	VALE	VALE ON ADR	USD	1	1	US91912E1055																																							
ADR	TEF	TEF SM ADR	USD	1	1	US8793822086																																							
CAD Equity	FEC CN	FRONTERA ENERGY CORP	CAD	1	1	CA35905B1076																																							
Cash	Cash BRL	Cash BRL	BRL	1	1																																								
Cash	Cash USD	Cash USD	USD	1	1																																								
Cash	Cash EUR	Cash EUR	EUR	1	1																																								
Cash	Cash HKD	Cash HKD	HKD	1	1																																								
Cash	Cash JPY	Cash JPY	JPY	1	1																																								
Cash	Cash MXN	Cash MXN	MXN	1	1																																								
Cash	Cash NOK	Cash NOK	NOK	1	1																																								
Cash	Cash SGD	Cash SGD	SGD	1	1																																								
Cash	Cash GBP	Cash GBP	GBP	1	1																																								
Cash	Cash CNY	Cash CNY	CNY	1	1																																								
Cash	Cash EUR Futures	Cash EUR Futures	EUR	1	1																																								
CDB CDI	CDBCDI 30Sep2016 - 31Dec2049 100	CDBCDI 30Sep2016 - 31Dec2049 100	BRL	1	1		09/30/2016	12/31/2049	DI_Over	100	12/31/2049	09/30/2016																																	
CDB CDI	CDBCDI 07Oct2019 - 21Sep2022 BRADESCO 100	CDBCDI 07Oct2019 - 21Sep2022 BRADESCO 100	BRL	1	1		10/07/2019	09/21/2022	DI_Over	100	09/21/2022	10/08/2019																																	
Compromissada CDI	Compromissadas CDI 28Aug2014-28Aug2024 95	Compromissadas CDI 28Aug2014-28Aug2024 95	BRL	1.27951961989584	1.27951961989584		09/29/2016	08/28/2024	DI_Over	95	08/28/2024	08/28/2024																																	
CRA	CRA JBS IPCA 4.5 15Oct2024	CRA JBS IPCA 4.5 15Oct2024	BRL	1000	1000	BRRBRACRA0M6		10/15/2024						04/14/2020	04/15/2020	BRL	4.5	Bus252	Exponential	1	10/17/2019	04/15/2020						IPCA PRT	10/15/2019	04/15/2020															
CRA	CRA JBS IPCA 4.5 15Oct2024	CRA JBS IPCA 4.5 15Oct2024	BRL	1000	1000	BRRBRACRA0M6		10/15/2024						10/14/2020	10/15/2020	BRL	4.5	Bus252	Exponential	1	04/15/2020	10/15/2020						IPCA PRT	10/15/2019	10/15/2020															
CRA	CRA JBS IPCA 4.5 15Oct2024	CRA JBS IPCA 4.5 15Oct2024	BRL	1000	1000	BRRBRACRA0M6		10/15/2024						04/14/2021	04/15/2021	BRL	4.5	Bus252	Exponential	1	10/15/2020	04/15/2021						IPCA PRT	10/15/2019	04/15/2021															
CRA	CRA JBS IPCA 4.5 15Oct2024	CRA JBS IPCA 4.5 15Oct2024	BRL	1000	1000	BRRBRACRA0M6		10/15/2024						10/14/2021	10/15/2021	BRL	4.5	Bus252	Exponential	1	04/15/2021	10/15/2021						IPCA PRT	10/15/2019	10/15/2021															
CRA	CRA JBS IPCA 4.5 15Oct2024	CRA JBS IPCA 4.5 15Oct2024	BRL	1000	1000	BRRBRACRA0M6		10/15/2024						04/14/2022	04/18/2022	BRL	4.5	Bus252	Exponential	1	10/15/2021	04/18/2022						IPCA PRT	10/15/2019	04/18/2022															
CRA	CRA JBS IPCA 4.5 15Oct2024	CRA JBS IPCA 4.5 15Oct2024	BRL	1000	1000	BRRBRACRA0M6		10/15/2024						10/14/2022	10/17/2022	BRL	4.5	Bus252	Exponential	1	04/18/2022	10/17/2022						IPCA PRT	10/15/2019	10/17/2022															
CRA	CRA JBS IPCA 4.5 15Oct2024	CRA JBS IPCA 4.5 15Oct2024	BRL	1000	1000	BRRBRACRA0M6		10/15/2024						04/14/2023	04/17/2023	BRL	4.5	Bus252	Exponential	1	10/17/2022	04/17/2023						IPCA PRT	10/15/2019	04/17/2023															
CRA	CRA JBS IPCA 4.5 15Oct2024	CRA JBS IPCA 4.5 15Oct2024	BRL	1000	1000	BRRBRACRA0M6		10/15/2024						10/13/2023	10/16/2023	BRL	4.5	Bus252	Exponential	1	04/17/2023	10/16/2023						IPCA PRT	10/15/2019	10/16/2023															
CRA	CRA JBS IPCA 4.5 15Oct2024	CRA JBS IPCA 4.5 15Oct2024	BRL	1000	1000	BRRBRACRA0M6		10/15/2024						04/12/2024	04/15/2024	BRL	4.5	Bus252	Exponential	1	10/16/2023	04/15/2024						IPCA PRT	10/15/2019	04/15/2024															
CRA	CRA JBS IPCA 4.5 15Oct2024	CRA JBS IPCA 4.5 15Oct2024	BRL	1000	1000	BRRBRACRA0M6		10/15/2024						10/14/2024	10/15/2024	BRL	4.5	Bus252	Exponential	1	04/15/2024	10/15/2024						IPCA PRT	10/15/2019	10/15/2024	100														
CRA Pct DI	CRA CAMIL 98 20Jul2021	CRA CAMIL 98 20Jul2021	BRL	1000	1000			07/20/2021						07/19/2021	07/20/2021	BRL															100														
CRA Pct DI	CRA CAMIL 98 20Jul2021	CRA CAMIL 98 20Jul2021	BRL	1000	1000			07/20/2021						01/18/2021	01/19/2021	BRL																													
CRA Pct DI	CRA CAMIL 98 20Jul2021	CRA CAMIL 98 20Jul2021	BRL	1000	1000			07/20/2021						07/20/2020	07/21/2020	BRL																													
CRA Pct DI	CRA CAMIL 98 20Jul2021	CRA CAMIL 98 20Jul2021	BRL	1000	1000			07/20/2021						01/20/2020	01/21/2020	BRL																													
CRA Pct DI	CRA CAMIL 98 20Jul2021	CRA CAMIL 98 20Jul2021	BRL	1000	1000			07/20/2021						07/18/2019	07/19/2019	BRL																													
CRA Pct DI	CRA CAMIL 98 20Jul2021	CRA CAMIL 98 20Jul2021	BRL	1000	1000			07/20/2021						01/18/2019	01/21/2019	BRL																													
CRA Pct DI	CRA CAMIL 98 20Jul2021	CRA CAMIL 98 20Jul2021	BRL	1000	1000			07/20/2021						07/18/2018	07/19/2018	BRL																													
CRA Pct DI	CRA CAMIL 98 20Jul2021	CRA CAMIL 98 20Jul2021	BRL	1000	1000			07/20/2021						01/18/2018	01/19/2018	BRL																													
Currencies Forward	JPY 30JUN21	JPY 30JUN21	JPY	1	1		03/29/2021	06/30/2021																																					
Currencies Forward	USD 30JUN21	USD 30JUN21	USD	1	1		03/29/2021	06/30/2021																																					
Currencies Forward	EUR 30JUN21	EUR 30JUN21	EUR	1	1		03/29/2021	06/30/2021																																					
Currencies NDF	USDBRLNDF 5.2876 30JUN21	USDBRLNDF 5.2876 30JUN21	USD	1	1			06/30/2021			07/02/2021														06/30/2021							5.2876													
Debenture	BNDC11	BNDC11	BRL	100	100			01/15/2027						01/14/2027	01/15/2027	BRL	7.9641	Bus252	Exponential	1	07/15/2026	01/15/2027						IPCA PRT	01/16/2017	01/15/2027	4.5		0												
Debenture	BNDC11	BNDC11	BRL	100	100			01/15/2027						07/14/2026	07/15/2026	BRL	7.9641	Bus252	Exponential	1	01/15/2026	07/15/2026						IPCA PRT	01/16/2017	07/15/2026	9		0												
Debenture	BNDC11	BNDC11	BRL	100	100			01/15/2027						01/14/2026	01/15/2026	BRL	7.9641	Bus252	Exponential	1	07/15/2025	01/15/2026						IPCA PRT	01/16/2017	01/15/2026	6		0												
Debenture	BNDC11	BNDC11	BRL	100	100			01/15/2027						07/14/2025	07/15/2025	BRL	7.9641	Bus252	Exponential	1	01/15/2025	07/15/2025						IPCA PRT	01/16/2017	07/15/2025	6		0												
Debenture	BNDC11	BNDC11	BRL	100	100			01/15/2027						01/14/2025	01/15/2025	BRL	7.9641	Bus252	Exponential	1	07/15/2024	01/15/2025						IPCA PRT	01/16/2017	01/15/2025	6		0												
Debenture	BNDC11	BNDC11	BRL	100	100			01/15/2027						07/12/2024	07/15/2024	BRL	7.9641	Bus252	Exponential	1	01/15/2024	07/15/2024						IPCA PRT	01/16/2017	07/15/2024	6		0												
Debenture	BNDC11	BNDC11	BRL	100	100			01/15/2027						01/12/2024	01/15/2024	BRL	7.9641	Bus252	Exponential	1	07/17/2023	01/15/2024						IPCA PRT	01/16/2017	01/15/2024	6		0												
Debenture	BNDC11	BNDC11	BRL	100	100			01/15/2027						07/14/2023	07/17/2023	BRL	7.9641	Bus252	Exponential	1	01/16/2023	07/17/2023						IPCA PRT	01/16/2017	07/17/2023	5		0												
Debenture	BNDC11	BNDC11	BRL	100	100			01/15/2027						01/13/2023	01/16/2023	BRL	7.9641	Bus252	Exponential	1	07/15/2022	01/16/2023						IPCA PRT	01/16/2017	01/16/2023	4		0												
Debenture	BNDC11	BNDC11	BRL	100	100			01/15/2027						07/14/2022	07/15/2022	BRL	7.9641	Bus252	Exponential	1	01/17/2022	07/15/2022						IPCA PRT	01/16/2017	07/15/2022	5		0												
Debenture	BNDC11	BNDC11	BRL	100	100			01/15/2027						01/14/2022	01/17/2022	BRL	7.9641	Bus252	Exponential	1	07/15/2021	01/17/2022						IPCA PRT	01/16/2017	01/17/2022	6		0												
Debenture	BNDC11	BNDC11	BRL	100	100			01/15/2027						07/14/2021	07/15/2021	BRL	7.9641	Bus252	Exponential	1	01/15/2021	07/15/2021						IPCA PRT	01/16/2017	07/15/2021	6		0												
Debenture	BNDC11	BNDC11	BRL	100	100			01/15/2027						01/14/2021	01/15/2021	BRL	7.9641	Bus252	Exponential	1	07/15/2020	01/15/2021						IPCA PRT	01/16/2017	01/15/2021	6		10.4473915453286												
Debenture	BNDC11	BNDC11	BRL	100	100			01/15/2027						07/14/2020	07/15/2020	BRL	7.9641	Bus252	Exponential	1	01/15/2020	07/15/2020						IPCA PRT	01/16/2017	07/15/2020	6		10.1829289135779												
Debenture	BNDC11	BNDC11	BRL	100	100			01/15/2027						01/14/2020	01/15/2020	BRL	7.9641	Bus252	Exponential	1	07/15/2019	01/15/2020						IPCA PRT	01/16/2017	01/15/2020	5		9.42523630573437												
Debenture	BNDC11	BNDC11	BRL	100	100			01/15/2027						07/12/2019	07/15/2019	BRL	7.9641	Bus252	Exponential	1	01/15/2019	07/15/2019						IPCA PRT	01/16/2017	07/15/2019	4		8.1642461719972												
Debenture	BNDC11	BNDC11	BRL	100	100			01/15/2027						01/14/2019	01/15/2019	BRL	7.9641	Bus252	Exponential	1	01/16/2017	01/15/2019						IPCA PRT	01/16/2017	01/15/2019	9.5		27.6086744706386												
Debenture	PETR25	PETROLEO BRASILEIRO S/A	BRL	1000	1000	BRPETRDBS068		08/15/2024					B	08/14/2024	08/15/2024	BRL	5.2092	Bus252	Exponential	1	08/15/2023	08/15/2024						IPCA PRT	08/15/2017	08/15/2024	100		0												
Debenture	PETR25	PETROLEO BRASILEIRO S/A	BRL	1000	1000	BRPETRDBS068		08/15/2024					B	08/14/2023	08/15/2023	BRL	5.2092	Bus252	Exponential	1	08/15/2022	08/15/2023						IPCA PRT	08/15/2017	08/15/2023			0												
Debenture	PETR25	PETROLEO BRASILEIRO S/A	BRL	1000	1000	BRPETRDBS068		08/15/2024					B	08/12/2022	08/15/2022	BRL	5.2092	Bus252	Exponential	1	08/16/2021	08/15/2022						IPCA PRT	08/15/2017	08/15/2022			0												
Debenture	PETR25	PETROLEO BRASILEIRO S/A	BRL	1000	1000	BRPETRDBS068		08/15/2024					B	08/13/2021	08/16/2021	BRL	5.2092	Bus252	Exponential	1	08/17/2020	08/16/2021						IPCA PRT	08/15/2017	08/16/2021			0												
Debenture	PETR25	PETROLEO BRASILEIRO S/A	BRL	1000	1000	BRPETRDBS068		08/15/2024					B	08/14/2020	08/17/2020	BRL	5.2092	Bus252	Exponential	1	08/15/2019	08/17/2020						IPCA PRT	08/15/2017	08/17/2020			57.671409												
Debenture	PETR25	PETROLEO BRASILEIRO S/A	BRL	1000	1000	BRPETRDBS068		08/15/2024					B	08/14/2019	08/15/2019	BRL	5.2092	Bus252	Exponential	1	08/15/2018	08/15/2019						IPCA PRT	08/15/2017	08/15/2019			55.6862708333333												
Debenture	PETR25	PETROLEO BRASILEIRO S/A	BRL	1000	1000	BRPETRDBS068		08/15/2024					B	08/14/2018	08/15/2018	BRL	5.2092	Bus252	Exponential	1	08/15/2017	08/15/2018						IPCA PRT	08/15/2017	08/15/2018			53.9853031959837												
Debenture	PRPO12	PIRAPORA II SOLAR HOLDING S.A.	BRL	1000	1000	BRPRPODBS016		12/15/2031						12/12/2031	12/15/2031	BRL	4.22	Bus252	Exponential	1	06/16/2031	12/15/2031						IPCA PRT	10/15/2019	12/15/2031	8.05		0												
Debenture	PRPO12	PIRAPORA II SOLAR HOLDING S.A.	BRL	1000	1000	BRPRPODBS016		12/15/2031						06/13/2031	06/16/2031	BRL	4.22	Bus252	Exponential	1	12/16/2030	06/16/2031						IPCA PRT	10/15/2019	06/16/2031	8.05		0												
Debenture	PRPO12	PIRAPORA II SOLAR HOLDING S.A.	BRL	1000	1000	BRPRPODBS016		12/15/2031						12/13/2030	12/16/2030	BRL	4.22	Bus252	Exponential	1	06/17/2030	12/16/2030						IPCA PRT	10/15/2019	12/16/2030	7.25		0												
Debenture	PRPO12	PIRAPORA II SOLAR HOLDING S.A.	BRL	1000	1000	BRPRPODBS016		12/15/2031						06/14/2030	06/17/2030	BRL	4.22	Bus252	Exponential	1	12/17/2029	06/17/2030						IPCA PRT	10/15/2019	06/17/2030	7.25		0												
Debenture	PRPO12	PIRAPORA II SOLAR HOLDING S.A.	BRL	1000	1000	BRPRPODBS016		12/15/2031						12/14/2029	12/17/2029	BRL	4.22	Bus252	Exponential	1	06/15/2029	12/17/2029						IPCA PRT	10/15/2019	12/17/2029	6.4		0												
Debenture	PRPO12	PIRAPORA II SOLAR HOLDING S.A.	BRL	1000	1000	BRPRPODBS016		12/15/2031						06/14/2029	06/15/2029	BRL	4.22	Bus252	Exponential	1	12/15/2028	06/15/2029						IPCA PRT	10/15/2019	06/15/2029	6.4		0												
Debenture	PRPO12	PIRAPORA II SOLAR HOLDING S.A.	BRL	1000	1000	BRPRPODBS016		12/15/2031						12/14/2028	12/15/2028	BRL	4.22	Bus252	Exponential	1	06/16/2028	12/15/2028						IPCA PRT	10/15/2019	12/15/2028	5.85		0												
Debenture	PRPO12	PIRAPORA II SOLAR HOLDING S.A.	BRL	1000	1000	BRPRPODBS016		12/15/2031						06/14/2028	06/16/2028	BRL	4.22	Bus252	Exponential	1	12/15/2027	06/16/2028						IPCA PRT	10/15/2019	06/16/2028	5.85		0												
Debenture	PRPO12	PIRAPORA II SOLAR HOLDING S.A.	BRL	1000	1000	BRPRPODBS016		12/15/2031						12/14/2027	12/15/2027	BRL	4.22	Bus252	Exponential	1	06/15/2027	12/15/2027						IPCA PRT	10/15/2019	12/15/2027	5.15		0												
Debenture	PRPO12	PIRAPORA II SOLAR HOLDING S.A.	BRL	1000	1000	BRPRPODBS016		12/15/2031						06/14/2027	06/15/2027	BRL	4.22	Bus252	Exponential	1	12/15/2026	06/15/2027						IPCA PRT	10/15/2019	06/15/2027	5.15		0												
Debenture	PRPO12	PIRAPORA II SOLAR HOLDING S.A.	BRL	1000	1000	BRPRPODBS016		12/15/2031						12/14/2026	12/15/2026	BRL	4.22	Bus252	Exponential	1	06/15/2026	12/15/2026						IPCA PRT	10/15/2019	12/15/2026	4.45		0												
Debenture	PRPO12	PIRAPORA II SOLAR HOLDING S.A.	BRL	1000	1000	BRPRPODBS016		12/15/2031						06/12/2026	06/15/2026	BRL	4.22	Bus252	Exponential	1	12/15/2025	06/15/2026						IPCA PRT	10/15/2019	06/15/2026	4.45		0												
Debenture	PRPO12	PIRAPORA II SOLAR HOLDING S.A.	BRL	1000	1000	BRPRPODBS016		12/15/2031						12/12/2025	12/15/2025	BRL	4.22	Bus252	Exponential	1	06/16/2025	12/15/2025						IPCA PRT	10/15/2019	12/15/2025	3.9		0												
Debenture	PRPO12	PIRAPORA II SOLAR HOLDING S.A.	BRL	1000	1000	BRPRPODBS016		12/15/2031						06/13/2025	06/16/2025	BRL	4.22	Bus252	Exponential	1	12/16/2024	06/16/2025						IPCA PRT	10/15/2019	06/16/2025	3.9		0												
Debenture	PRPO12	PIRAPORA II SOLAR HOLDING S.A.	BRL	1000	1000	BRPRPODBS016		12/15/2031						12/13/2024	12/16/2024	BRL	4.22	Bus252	Exponential	1	06/17/2024	12/16/2024						IPCA PRT	10/15/2019	12/16/2024	3.25		0												
Debenture	PRPO12	PIRAPORA II SOLAR HOLDING S.A.	BRL	1000	1000	BRPRPODBS016		12/15/2031						06/14/2024	06/17/2024	BRL	4.22	Bus252	Exponential	1	12/15/2023	06/17/2024						IPCA PRT	10/15/2019	06/17/2024	3.25		0												
Debenture	PRPO12	PIRAPORA II SOLAR HOLDING S.A.	BRL	1000	1000	BRPRPODBS016		12/15/2031						12/14/2023	12/15/2023	BRL	4.22	Bus252	Exponential	1	06/15/2023	12/15/2023						IPCA PRT	10/15/2019	12/15/2023	2.45		0												
Debenture	PRPO12	PIRAPORA II SOLAR HOLDING S.A.	BRL	1000	1000	BRPRPODBS016		12/15/2031						06/14/2023	06/15/2023	BRL	4.22	Bus252	Exponential	1	12/15/2022	06/15/2023						IPCA PRT	10/15/2019	06/15/2023	2.45		0												
Debenture	PRPO12	PIRAPORA II SOLAR HOLDING S.A.	BRL	1000	1000	BRPRPODBS016		12/15/2031						12/14/2022	12/15/2022	BRL	4.22	Bus252	Exponential	1	06/15/2022	12/15/2022						IPCA PRT	10/15/2019	12/15/2022	2		0												
Debenture	PRPO12	PIRAPORA II SOLAR HOLDING S.A.	BRL	1000	1000	BRPRPODBS016		12/15/2031						06/14/2022	06/15/2022	BRL	4.22	Bus252	Exponential	1	12/15/2021	06/15/2022						IPCA PRT	10/15/2019	06/15/2022	2		0												
